<<<<<<< HEAD
timestamp,motion_detected,temperature_c,humidity_pct,audio_detected,occupancy_predicted
2026-06-25 16:33:10,False,28.4,81.0,1,1
2026-06-25 16:33:23,False,28.4,81.2,1,1
2026-06-25 16:33:33,False,28.4,81.2,1,1
2026-06-25 16:33:43,False,28.4,81.2,1,1
2026-06-25 16:33:54,False,28.4,81.1,1,1
2026-06-25 16:34:06,False,28.4,81.1,1,1
2026-06-25 16:34:17,False,28.4,81.2,1,1
2026-06-25 16:34:27,False,28.4,81.1,1,1
2026-06-25 16:34:37,False,28.4,81.1,1,1
2026-06-25 16:34:47,False,28.4,81.1,1,1
2026-06-25 16:34:58,False,28.4,81.1,1,1
2026-06-25 16:35:08,False,28.4,81.1,1,1
2026-06-25 16:35:18,False,28.4,81.1,1,1
2026-06-25 16:35:29,False,28.4,81.1,1,1
2026-06-25 16:35:39,False,28.4,81.1,1,1
2026-06-25 16:35:49,False,28.4,81.1,1,1
2026-06-25 16:36:00,False,28.4,81.1,1,1
2026-06-25 16:36:10,False,28.4,81.1,1,1
2026-06-25 16:36:20,False,28.4,81.1,1,1
2026-06-25 16:36:30,False,28.5,81.1,1,1
2026-06-25 16:36:41,False,28.4,81.0,1,1
2026-06-25 16:36:51,False,28.4,81.0,1,1
2026-06-25 16:37:01,False,28.4,81.0,1,1
2026-06-25 16:37:12,False,28.4,81.1,1,1
2026-06-25 16:37:22,False,28.4,81.2,1,1
2026-06-25 16:37:35,False,28.4,81.2,1,1
2026-06-25 16:37:45,False,28.4,81.2,1,1
2026-06-25 16:37:55,False,28.4,81.3,1,1
2026-06-25 16:38:05,False,28.4,81.3,1,1
2026-06-25 16:38:16,False,28.4,81.3,1,1
2026-06-25 16:38:26,False,28.3,81.3,1,1
2026-06-25 16:38:36,False,28.4,81.4,1,1
2026-06-25 16:38:47,False,28.3,81.4,1,1
2026-06-25 16:38:57,False,28.4,81.4,1,1
2026-06-25 16:39:07,False,28.4,81.4,1,1
2026-06-25 16:39:18,False,28.4,81.4,1,1
2026-06-25 16:39:28,False,28.3,81.4,1,1
2026-06-25 16:39:38,False,28.4,81.5,1,1
2026-06-25 16:39:49,False,28.3,81.5,1,1
2026-06-25 16:39:59,False,28.3,81.5,1,1
2026-06-25 16:40:09,False,28.3,81.5,1,1
2026-06-25 16:40:19,False,28.3,81.5,1,1
2026-06-25 16:40:30,False,28.3,81.5,1,1
2026-06-25 16:40:40,False,28.3,81.6,1,1
2026-06-25 16:40:50,False,28.3,81.6,1,1
2026-06-25 16:41:01,False,28.3,81.5,1,1
2026-06-25 16:41:11,False,28.3,81.5,1,1
2026-06-25 16:41:21,False,28.3,81.5,1,1
=======
timestamp,motion_detected,temperature_c,humidity_pct,audio_detected,occupancy_predicted
2026-06-25 16:33:10,False,28.4,81.0,1,1
2026-06-25 16:33:23,False,28.4,81.2,1,1
2026-06-25 16:33:33,False,28.4,81.2,1,1
2026-06-25 16:33:43,False,28.4,81.2,1,1
2026-06-25 16:33:54,False,28.4,81.1,1,1
2026-06-25 16:34:06,False,28.4,81.1,1,1
2026-06-25 16:34:17,False,28.4,81.2,1,1
2026-06-25 16:34:27,False,28.4,81.1,1,1
2026-06-25 16:34:37,False,28.4,81.1,1,1
2026-06-25 16:34:47,False,28.4,81.1,1,1
2026-06-25 16:34:58,False,28.4,81.1,1,1
2026-06-25 16:35:08,False,28.4,81.1,1,1
2026-06-25 16:35:18,False,28.4,81.1,1,1
2026-06-25 16:35:29,False,28.4,81.1,1,1
2026-06-25 16:35:39,False,28.4,81.1,1,1
2026-06-25 16:35:49,False,28.4,81.1,1,1
2026-06-25 16:36:00,False,28.4,81.1,1,1
2026-06-25 16:36:10,False,28.4,81.1,1,1
2026-06-25 16:36:20,False,28.4,81.1,1,1
2026-06-25 16:36:30,False,28.5,81.1,1,1
2026-06-25 16:36:41,False,28.4,81.0,1,1
2026-06-25 16:36:51,False,28.4,81.0,1,1
2026-06-25 16:37:01,False,28.4,81.0,1,1
2026-06-25 16:37:12,False,28.4,81.1,1,1
2026-06-25 16:37:22,False,28.4,81.2,1,1
2026-06-25 16:37:35,False,28.4,81.2,1,1
2026-06-25 16:37:45,False,28.4,81.2,1,1
2026-06-25 16:37:55,False,28.4,81.3,1,1
2026-06-25 16:38:05,False,28.4,81.3,1,1
2026-06-25 16:38:16,False,28.4,81.3,1,1
2026-06-25 16:38:26,False,28.3,81.3,1,1
2026-06-25 16:38:36,False,28.4,81.4,1,1
2026-06-25 16:38:47,False,28.3,81.4,1,1
2026-06-25 16:38:57,False,28.4,81.4,1,1
2026-06-25 16:39:07,False,28.4,81.4,1,1
2026-06-25 16:39:18,False,28.4,81.4,1,1
2026-06-25 16:39:28,False,28.3,81.4,1,1
2026-06-25 16:39:38,False,28.4,81.5,1,1
2026-06-25 16:39:49,False,28.3,81.5,1,1
2026-06-25 16:39:59,False,28.3,81.5,1,1
2026-06-25 16:40:09,False,28.3,81.5,1,1
2026-06-25 16:40:19,False,28.3,81.5,1,1
2026-06-25 16:40:30,False,28.3,81.5,1,1
2026-06-25 16:40:40,False,28.3,81.6,1,1
2026-06-25 16:40:50,False,28.3,81.6,1,1
2026-06-25 16:41:01,False,28.3,81.5,1,1
2026-06-25 16:41:11,False,28.3,81.5,1,1
2026-06-25 16:41:21,False,28.3,81.5,1,1
>>>>>>> da24f02e283a09365ce1fcd62d2aa6723e3b3eef
