<<<<<<< HEAD
timestamp,motion_detected,temperature_c,humidity_pct,audio_detected
2026-06-17 08:33:37,False,29.7,74.1,0
2026-06-17 08:33:47,True,29.9,83.8,0
2026-06-17 08:33:57,False,30.0,83.3,0
2026-06-17 08:34:08,False,30.2,89.3,0
2026-06-17 08:34:18,False,30.3,81.2,0
2026-06-17 08:34:28,True,30.3,75.5,0
2026-06-17 08:34:38,True,30.3,73.8,1
2026-06-17 08:34:49,False,30.3,74.6,1
2026-06-17 08:34:59,False,30.4,82.7,1
2026-06-17 08:35:09,False,30.5,87.7,1
2026-06-17 08:35:19,False,30.5,80.8,1
2026-06-17 08:35:30,False,30.6,74.7,1
2026-06-17 08:35:40,False,30.5,73.5,1
2026-06-17 08:35:50,True,30.5,73.1,1
2026-06-17 08:36:00,False,30.5,72.8,1
2026-06-17 08:36:11,False,30.4,72.7,1
2026-06-17 08:36:21,True,30.4,72.9,1
2026-06-17 08:36:31,False,30.4,73.1,0
2026-06-17 08:36:41,False,30.4,73.3,0
2026-06-17 08:36:52,False,30.4,73.7,1
2026-06-17 08:37:02,False,30.4,77.1,1
2026-06-17 08:37:12,False,30.4,81.7,1
2026-06-17 08:37:22,False,30.4,75.3,1
2026-06-17 08:37:33,False,30.4,73.6,1
2026-06-17 08:37:43,False,30.5,73.5,1
2026-06-17 08:37:53,False,30.4,74.2,1
2026-06-17 08:38:03,False,30.5,73.2,1
2026-06-17 08:38:14,False,30.4,73.0,1
2026-06-17 08:38:24,True,30.4,73.0,1
2026-06-17 08:38:34,True,30.5,73.9,1
2026-06-17 08:38:44,False,30.5,78.4,1
2026-06-17 08:38:55,False,30.5,75.2,1
2026-06-17 08:39:05,True,30.6,74.8,1
2026-06-17 08:39:15,False,30.5,75.5,0
2026-06-17 08:39:25,False,30.6,77.5,0
2026-06-17 08:39:38,False,30.6,77.1,1
2026-06-17 08:39:48,False,30.6,75.6,0
2026-06-17 08:39:59,False,30.6,81.5,0
2026-06-17 08:40:09,True,30.9,93.9,0
2026-06-17 08:40:19,True,31.1,96.8,1
2026-06-17 08:40:29,True,31.2,82.1,1
2026-06-17 08:40:42,False,31.2,81.1,1
2026-06-17 08:40:52,True,31.2,78.7,1
2026-06-17 08:41:02,False,31.2,76.8,1
2026-06-17 08:41:13,False,31.2,75.7,1
2026-06-17 08:41:23,False,31.2,75.0,1
2026-06-17 08:41:33,False,31.1,75.6,0
2026-06-17 08:41:43,False,31.1,75.0,1
=======
timestamp,motion_detected,temperature_c,humidity_pct,audio_detected
2026-06-17 08:33:37,False,29.7,74.1,0
2026-06-17 08:33:47,True,29.9,83.8,0
2026-06-17 08:33:57,False,30.0,83.3,0
2026-06-17 08:34:08,False,30.2,89.3,0
2026-06-17 08:34:18,False,30.3,81.2,0
2026-06-17 08:34:28,True,30.3,75.5,0
2026-06-17 08:34:38,True,30.3,73.8,1
2026-06-17 08:34:49,False,30.3,74.6,1
2026-06-17 08:34:59,False,30.4,82.7,1
2026-06-17 08:35:09,False,30.5,87.7,1
2026-06-17 08:35:19,False,30.5,80.8,1
2026-06-17 08:35:30,False,30.6,74.7,1
2026-06-17 08:35:40,False,30.5,73.5,1
2026-06-17 08:35:50,True,30.5,73.1,1
2026-06-17 08:36:00,False,30.5,72.8,1
2026-06-17 08:36:11,False,30.4,72.7,1
2026-06-17 08:36:21,True,30.4,72.9,1
2026-06-17 08:36:31,False,30.4,73.1,0
2026-06-17 08:36:41,False,30.4,73.3,0
2026-06-17 08:36:52,False,30.4,73.7,1
2026-06-17 08:37:02,False,30.4,77.1,1
2026-06-17 08:37:12,False,30.4,81.7,1
2026-06-17 08:37:22,False,30.4,75.3,1
2026-06-17 08:37:33,False,30.4,73.6,1
2026-06-17 08:37:43,False,30.5,73.5,1
2026-06-17 08:37:53,False,30.4,74.2,1
2026-06-17 08:38:03,False,30.5,73.2,1
2026-06-17 08:38:14,False,30.4,73.0,1
2026-06-17 08:38:24,True,30.4,73.0,1
2026-06-17 08:38:34,True,30.5,73.9,1
2026-06-17 08:38:44,False,30.5,78.4,1
2026-06-17 08:38:55,False,30.5,75.2,1
2026-06-17 08:39:05,True,30.6,74.8,1
2026-06-17 08:39:15,False,30.5,75.5,0
2026-06-17 08:39:25,False,30.6,77.5,0
2026-06-17 08:39:38,False,30.6,77.1,1
2026-06-17 08:39:48,False,30.6,75.6,0
2026-06-17 08:39:59,False,30.6,81.5,0
2026-06-17 08:40:09,True,30.9,93.9,0
2026-06-17 08:40:19,True,31.1,96.8,1
2026-06-17 08:40:29,True,31.2,82.1,1
2026-06-17 08:40:42,False,31.2,81.1,1
2026-06-17 08:40:52,True,31.2,78.7,1
2026-06-17 08:41:02,False,31.2,76.8,1
2026-06-17 08:41:13,False,31.2,75.7,1
2026-06-17 08:41:23,False,31.2,75.0,1
2026-06-17 08:41:33,False,31.1,75.6,0
2026-06-17 08:41:43,False,31.1,75.0,1
>>>>>>> da24f02e283a09365ce1fcd62d2aa6723e3b3eef
